league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Grosvenor,h2h,home wins,1.83
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Grosvenor,h2h,away wins,4.0
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Grosvenor,h2h,draw,3.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betway,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betway,h2h,away wins,5.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betway,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,888sport,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,888sport,h2h,away wins,5.5
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,888sport,h2h,draw,4.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Paddy Power,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Paddy Power,h2h,away wins,5.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Paddy Power,h2h,draw,4.33
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betfair,h2h,home wins,1.63
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betfair,h2h,away wins,5.7
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Betfair,h2h,draw,4.6
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Sky Bet,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Sky Bet,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Sky Bet,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,William Hill,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,William Hill,h2h,away wins,5.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,William Hill,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LiveScore Bet,h2h,home wins,1.55
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LiveScore Bet,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LiveScore Bet,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Virgin Bet,h2h,home wins,1.55
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Virgin Bet,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Virgin Bet,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Ladbrokes,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Ladbrokes,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Ladbrokes,h2h,draw,4.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Coral,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Coral,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Coral,h2h,draw,4.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Bet Victor,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Bet Victor,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Bet Victor,h2h,draw,4.1
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LeoVegas,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LeoVegas,h2h,away wins,5.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,LeoVegas,h2h,draw,4.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Grosvenor,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Grosvenor,h2h,away wins,5.1
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Grosvenor,h2h,draw,4.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Mr Green,h2h,home wins,1.61
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Mr Green,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Mr Green,h2h,draw,4.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Casumo,h2h,home wins,1.62
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Casumo,h2h,away wins,5.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Casumo,h2h,draw,4.3
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Unibet,h2h,home wins,1.6
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Unibet,h2h,away wins,5.2
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Unibet,h2h,draw,4.25
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,BoyleSports,h2h,home wins,1.57
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,BoyleSports,h2h,away wins,5.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,BoyleSports,h2h,draw,4.0
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Matchbook,h2h,home wins,1.63
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Matchbook,h2h,away wins,5.7
EPL,2024-01-13T12:30:00Z,Chelsea,Fulham,Matchbook,h2h,draw,4.6
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betway,h2h,away wins,1.55
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betway,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betway,h2h,draw,4.2
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,888sport,h2h,away wins,1.53
